seed,username,percent_max_sum,avg_score,NM1_rank,NM2_rank,NM3_rank,HD1_rank,HD2_rank,HR1_rank,HR2_rank,DT1_rank,DT2_rank,NM1_score,NM2_score,NM3_score,HD1_score,HD2_score,HR1_score,HR2_score,DT1_score,DT2_score
1,Tenwa,8.948,971 342,1,1,1,1,1,2,1,4,2,1 007 600,1 000 600,962 153,1 012 754,1 002 200,939 529,931 562,948 727,936 949
2,nam2007vn,8.334,904 019,3,2,4,2,5,1,3,2,3,959 783,906 517,886 765,913 275,791 206,953 881,859 122,981 165,884 460
3,-Miya,7.958,863 778,2,3,10,4,3,7,5,5,1,981 412,868 212,766 953,824 035,886 881,749 381,814 715,942 706,939 706
4,Hana Yukiko,7.811,846 611,4,4,7,11,11,3,4,1,4,958 029,867 281,826 038,719 713,694 314,849 729,838 474,982 060,883 858
5,Minorin_,7.651,830 190,8,5,9,7,9,10,6,3,6,934 968,836 164,814 826,793 690,736 078,729 447,794 789,973 142,858 606
6,Huytimeclock,7.522,817 437,7,11,2,3,2,11,9,15,8,937 778,770 869,938 190,909 262,897 754,702 242,720 424,704 190,776 227
7,AnhMinh_709,7.406,802 167,14,13,3,10,4,6,2,13,7,828 608,735 119,893 774,721 812,830 441,757 129,912 683,726 736,813 200
8,-[SnowFlakes]-,7.258,785 619,12,9,5,14,12,8,7,6,5,838 730,781 410,884 043,556 399,661 256,742 517,790 510,932 104,883 598
9,[GB]Kita-,6.926,753 687,5,10,6,5,6,12,13,14,13,949 226,774 666,854 521,815 810,780 609,660 827,592 711,722 184,632 626
10,MyWifeFuuka,6.922,751 853,9,12,11,6,14,5,11,10,11,922 194,757 771,756 921,793 694,621 428,765 068,623 697,784 035,741 867
11,_Durandal_,6.73,728 612,11,6,15,15,24,4,8,7,10,847 838,807 763,704 453,548 143,464 392,833 191,759 306,835 325,757 099
12,mothernature,6.474,702 548,20,14,23,8,8,13,10,16,12,652 990,719 326,602 131,793 083,750 983,660 024,714 784,701 103,728 508
13,nottruong2011,6.465,700 372,6,7,8,21,31,9,12,8,9,942 705,807 158,819 342,423 169,387 590,732 948,594 554,834 434,761 452
14,DyAnhLikeLemon,6.382,694 326,17,8,13,9,7,14,14,19,15,742 211,788 981,729 692,779 318,770 320,592 689,571 587,668 974,605 158
15,caophihung,5.538,601 588,10,15,18,25,23,15,22,12,18,867 306,648 000,674 009,378 286,509 409,542 314,449 303,774 470,571 194
16,ndkcuber,5.472,594 075,15,16,16,18,25,16,17,17,19,790 320,610 861,702 871,505 634,460 618,524 150,505 922,675 734,570 563
17,duongduo020810,5.449,592 745,13,17,20,12,16,17,16,23,21,837 779,585 684,645 192,626 730,611 343,502 440,508 343,491 564,525 629
18,tam_biet,5.312,578 276,16,18,19,17,10,20,23,20,23,777 697,571 909,671 531,524 127,714 712,420 401,427 946,586 394,509 768
19,Crystria,5.309,574 736,19,19,14,26,26,18,15,11,14,671 963,524 260,715 983,367 011,453 835,470 845,570 093,775 054,623 580
20,nothing0074,5.287,574 991,18,20,22,13,15,19,20,9,22,684 895,449 856,616 023,614 633,613 227,447 277,453 438,785 759,509 810
21,TuongTho2k8,4.941,535 641,21,21,12,22,21,22,18,18,20,613 645,421 381,741 140,414 536,529 244,409 238,471 941,671 365,548 283
22,electrostrike,4.659,506 103,22,22,27,16,18,23,19,21,24,560 549,419 472,544 578,534 781,574 109,400 740,455 204,573 532,491 965
23,MashedPotato,4.533,491 066,23,24,21,19,29,21,21,22,17,518 480,391 997,640 620,472 758,426 488,412 743,451 114,532 131,573 263
24,vusonbn,4.019,435 266,24,25,17,24,27,28,24,26,16,482 667,335 956,688 087,385 626,427 277,232 568,386 379,393 994,584 840
25,TheWorstMapper,3.885,421 581,26,26,24,28,19,25,25,24,27,415 841,314 005,601 720,356 820,570 206,261 002,363 627,466 201,444 809
26,Kuru Shirokane,3.841,419 146,25,23,25,20,13,24,31,25,28,435 683,415 831,586 796,439 161,651 715,286 598,100 392,429 801,426 338
27,policevn,3.701,401 680,28,27,28,23,17,26,27,28,25,372 854,284 284,539 215,396 176,588 853,244 833,335 594,368 440,484 869
28,aiyern,3.65,395 942,27,28,26,27,20,27,26,27,26,399 130,275 054,546 885,361 893,555 233,235 157,348 889,381 416,459 820
29,Krystal Quan,2.454,266 080,30,31,31,32,22,30,28,30,30,203 036,162 957,383 887,178 688,518 282,143 474,250 293,255 131,298 972
30,leminhtam23,2.294,249 461,29,29,29,30,32,29,32,29,29,212 154,207 916,399 699,229 497,381 290,150 422,46 131,262 697,355 339
31,Cessna,2.273,246 917,31,30,30,29,28,31,29,31,31,192 640,164 069,386 036,259 267,426 914,105 708,217 023,206 568,264 026
32,GamerChris,1.756,190 973,32,32,32,31,30,32,30,32,32,117 539,99 358,313 956,225 313,387 891,57 837,148 791,165 875,202 198
